name	title
Agnes, Yuhyeon Jun	Light up the Balls
Agnes, Yuhyeon Jun	Wave Scape in Lake
Agnes, Yuhyeon Jun	Light up the Balls
Agnes, Yuhyeon Jun	Wave Scape in Lake
Alesandra Miro Quesada	Creating with Machine Learning
Alesandra Miro Quesada	Computing my Latiness
Alesandra Miro Quesada	Creating with Machine Learning
Alex J. Fordery	"""The Usual"""
Alex J. Fordery	"""The Usual"""
Andrew Chang	I am my sex slave
Andrew Chang	Stop Projecting Your Feelings Onto Others
Andrew Chang	Stop Projecting Your Feelings Onto Others
Andrew Chang	I am my sex slave
Anna	Data characters
Anna	Data characters
Callum Fowler	a human and a computer
Callum Fowler	a human and a computer
Camila Colussi	WordsOfRebellion
Camila Colussi	The future
Camila Colussi	The future
Camila Colussi	WordsOfRebellion
Chloe Karnezi	Cash Cow
Chloe Karnezi	A Rose is a Rose is a Rose
Chloe Karnezi	Cash Cow
Chloe Karnezi	A Rose is a Rose is a Rose
Chris Newth	Computational Spinning Wheel
Chris Newth	Computational Spinning Wheel
Christina Karpodini	Detuned piano
Christina Karpodini	"""Οικολογία"" (ecologia)"
Christina Karpodini	"""Οικολογία"" (ecologia)"
Christina Karpodini	Detuned piano
Clemence Debaig	Is It Getting Better?
Clemence Debaig	STRINGS
Clemence Debaig	Is It Getting Better?
Clemence Debaig	STRINGS
David R. Mincer	Laughing in the Face of Death
David R. Mincer	Laughing in the Face of Death
Dr Theo Papatheodorou	Introduction to Computational Arts MA
Duncan Paterson	CrowMisoMoon
Duncan Paterson	CrowMisoMoon
Eleanor Edwards	doNOTtouch
Elli Koliniati	Inside Us - A VR experience
Elli Koliniati	Inside Us - A VR experience
Ernie Lafky	Jeff in a Jar - Prototype 1.0
Ernie Lafky	Jeff in a Jar - Prototype 1.0
Felix Loftus	My Bitrot, Gutweed Breath
Felix Loftus	My Bitrot, Gutweed Breath
Gerolamo Gnecchi Ruscone	For the Tide!
Gerolamo Gnecchi Ruscone	For the Tide!
Hazel Ryan	Middle Ground
Hazel Ryan	Boundary
Hazel Ryan	Boundary
Hazel Ryan	Middle Ground
Jakob Jennerholm Hammar	Weaving Drafts at the Edge of the Abyss
Jakob Jennerholm Hammar	Weaving Drafts at the Edge of the Abyss
James Lawton	Public Opinion
James Lawton	Public Opinion
Jingyi Chen	The heart of the cosmos
Jingyi Chen	CyKink
Jingyi Chen	The heart of the cosmos
Jingyi Chen	CyKink
Jonny Fuller-Rowell	How Long Is Now?
Jonny Fuller-Rowell	Performing Objects
Jonny Fuller-Rowell	How Long Is Now?
Jonny Fuller-Rowell	Performing Objects
Jude Marcella	The Snow Globe
Jude Marcella	The Snow Globe
Julian Burgess	Sonicode
Julian Burgess	JESTLED
Julian Burgess	Sonicode
Julian Burgess	JESTLED
Karen Okpoti	Symbiosis
Karen Okpoti	Symbiosis
Katie Tindle	Drips
Katie Tindle	The Yellow Wallpaper
Katie Tindle	The Yellow Wallpaper
Katie Tindle	Drips
Keir Clyne	_dampMap
Keir Clyne	_dampMap
Lou Terry	Interactive Instrument
Lou Terry	Feral Robotic Birds
Lou Terry	Interactive Instrument
Lou Terry	Feral Robotic Birds
Marcus Ansley	The Best Days
Marcus Ansley	The Best Days
Mattia Spagnuolo	#iorestoacasa
Mattia Spagnuolo	#andratuttobene
Mattia Spagnuolo	#andratuttobene
Mattia Spagnuolo	#iorestoacasa
Mengdi Li	Cough, No Free
Mengdi Li	Cough, No Free
Oliver Schilke	Reciprocal
Oliver Schilke	Sumbios
Oliver Schilke	Sumbios
Oliver Schilke	Reciprocal
Owen Planchart	Pyrophonic
Owen Planchart	The Unbearable Lightness of Mixed Signals
Owen Planchart	Pyrophonic
Owen Planchart	The Unbearable Lightness of Mixed Signals
Romain Biros	Murmur, Swoosh, Retch
Romain Biros	Particles and 3D experimentations
Romain Biros	Murmur, Swoosh, Retch
Romain Biros	Work In Progress
Seyeon Park	Neo-4'33
Seyeon Park	Neo-4'33
Veera Jussila	A Magical AI Angle
Veera Jussila	Postcards from Lost Cities
Veera Jussila	Postcards from Lost Cities
Veera Jussila	A Magical AI Angle
Yanyi Lu	Replica
Yanyi Lu	The Obscure: Mourning The Lost Art
Yanyi Lu	Replica
Yanyi Lu	The Obscure: Mourning The Lost Art
Yasmine Boudiaf	Algerian Hand Gestures
Yasmine Boudiaf	Algerian Hand Gestures
Yewen Jin	The Sound of Poetry
Yewen Jin	The Sound of Poetry
Yishuai Zhang	Translucence
Yishuai Zhang	"""between"""
Yishuai Zhang	"""between"""
Yishuai Zhang	Translucence
Yu Liao	You Cannot Recognise
Yu Liao	You Cannot Recognise
Yuqian Sun	Digital fossil
Yuwen Huang	Project about 3D Studio and openFrameworks
Yuwen Huang	Project about 3D Studio and openFrameworks
kris hillquist	Everything Glitched
kris hillquist	Everything Glitched
with.lasers	orbiðvēl.V
with.lasers	orbiðvēl.V